ap_car,ap_cat,ap_chair,ap_dog,ap_person,checkpoint,checkpoint_path,conf_thresh,mAP@0.5,max_det,micro_precision,micro_recall,mode,nms_iou_thresh,num_predictions,precision_car,precision_cat,precision_chair,precision_dog,precision_person,recall_car,recall_cat,recall_chair,recall_dog,recall_person
0.356894,0.808469,0.427655,0.809287,0.633109,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.607083,30,0.124059,0.823355,classwise_current_max30,0.3,13413,0.05861,0.726829,0.102912,0.445844,0.13026,0.798587,0.846591,0.72695,0.859223,0.844507
0.313846,0.832227,0.42601,0.829583,0.632312,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.606796,100,0.046364,0.893617,raw_max100,0.4,38953,0.019518,0.511475,0.04221,0.280303,0.050082,0.890459,0.886364,0.815603,0.898058,0.91527
0.356894,0.808469,0.427655,0.807014,0.633109,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.606628,30,0.124299,0.82286,classwise_current_max30,0.3,13379,0.05861,0.756345,0.102912,0.474394,0.13026,0.798587,0.846591,0.72695,0.854369,0.844507
0.334563,0.819045,0.430832,0.811017,0.637075,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.606507,50,0.091257,0.850569,raw_max50,0.35,18837,0.038241,0.703704,0.082407,0.426859,0.099032,0.823322,0.863636,0.762411,0.864078,0.876164
0.356757,0.804035,0.427401,0.810216,0.633785,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.606439,100,0.115088,0.825829,raw_max100,0.3,14502,0.047098,0.774869,0.106218,0.495798,0.126827,0.805654,0.840909,0.72695,0.859223,0.848231
0.335784,0.814853,0.430127,0.814151,0.63719,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.606421,100,0.092411,0.852548,raw_max100,0.35,18645,0.037772,0.736585,0.086832,0.456633,0.101356,0.840989,0.857955,0.755319,0.868932,0.877095
0.334563,0.819045,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.606364,50,0.102313,0.849085,classwise_current_max50,0.35,16772,0.045821,0.703704,0.089722,0.425837,0.108307,0.823322,0.863636,0.755319,0.864078,0.875233
0.334829,0.819111,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.606309,30,0.116162,0.844631,classwise_current_max30,0.35,14695,0.054399,0.706977,0.096848,0.426859,0.122286,0.812721,0.863636,0.751773,0.864078,0.870577
0.356107,0.804035,0.427428,0.810216,0.633309,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.606219,50,0.119807,0.823355,raw_max50,0.3,13889,0.050492,0.774869,0.107668,0.495798,0.130441,0.798587,0.840909,0.72695,0.859223,0.845438
0.356107,0.804035,0.427428,0.810216,0.633309,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.606219,50,0.119807,0.823355,classwise_current_max50,0.3,13889,0.050492,0.774869,0.107668,0.495798,0.130441,0.798587,0.840909,0.72695,0.859223,0.845438
0.313702,0.829073,0.42601,0.829583,0.632048,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.606083,100,0.053507,0.889659,raw_max100,0.4,33603,0.022232,0.565693,0.049367,0.3157,0.058079,0.883392,0.880682,0.815603,0.898058,0.910615
0.312766,0.832332,0.425351,0.826536,0.631833,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.605764,50,0.056068,0.883721,raw_max50,0.4,31854,0.024828,0.513158,0.04827,0.283077,0.059633,0.865724,0.886364,0.801418,0.893204,0.907821
0.356894,0.80406,0.427255,0.807014,0.632718,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.605588,30,0.131859,0.820386,classwise_current_max30,0.3,12574,0.05861,0.778947,0.112521,0.495775,0.142138,0.798587,0.840909,0.723404,0.854369,0.841713
0.334563,0.814853,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.605525,50,0.102492,0.84859,classwise_current_max50,0.35,16733,0.045821,0.736585,0.089722,0.45641,0.108307,0.823322,0.857955,0.755319,0.864078,0.875233
0.334563,0.814853,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.605525,50,0.099622,0.84859,raw_max50,0.35,17215,0.041801,0.736585,0.089722,0.45641,0.108395,0.823322,0.857955,0.755319,0.864078,0.875233
0.334829,0.814898,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.605466,30,0.116395,0.844137,classwise_current_max30,0.35,14657,0.054399,0.740196,0.096848,0.45641,0.122286,0.812721,0.857955,0.751773,0.864078,0.870577
0.335784,0.810541,0.429452,0.814151,0.636985,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.605383,100,0.10214,0.850074,raw_max100,0.35,16820,0.041931,0.761421,0.095346,0.48248,0.1124,0.840989,0.852273,0.748227,0.868932,0.875233
0.312583,0.829166,0.425351,0.826536,0.631648,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.605057,50,0.063302,0.880752,raw_max50,0.4,28119,0.027686,0.567766,0.054908,0.318891,0.067613,0.858657,0.880682,0.801418,0.893204,0.905028
0.313455,0.825724,0.425438,0.828002,0.631819,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.604888,100,0.060155,0.883721,raw_max100,0.4,29690,0.024675,0.606299,0.055829,0.340111,0.065726,0.872792,0.875,0.804965,0.893204,0.90689
0.313266,0.825724,0.424823,0.828002,0.631627,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.604688,100,0.066892,0.879762,raw_max100,0.4,26580,0.027365,0.631148,0.062291,0.374745,0.073029,0.865724,0.875,0.794326,0.893204,0.904097
0.334563,0.810541,0.429523,0.811017,0.636759,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.604481,50,0.108931,0.846116,raw_max50,0.35,15698,0.045821,0.761421,0.097957,0.482385,0.118839,0.823322,0.852273,0.748227,0.864078,0.873371
0.334563,0.810541,0.429523,0.811017,0.636759,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.604481,50,0.108931,0.846116,classwise_current_max50,0.35,15698,0.045821,0.761421,0.097957,0.482385,0.118839,0.823322,0.852273,0.748227,0.864078,0.873371
0.334829,0.810565,0.429565,0.811017,0.636039,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.45,0.604403,30,0.123029,0.841663,classwise_current_max30,0.35,13826,0.054399,0.765306,0.10453,0.482385,0.13283,0.812721,0.852273,0.744681,0.864078,0.868715
0.356391,0.799465,0.427001,0.805312,0.633416,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.604317,100,0.126873,0.821376,raw_max100,0.3,13084,0.052086,0.803279,0.117851,0.511696,0.139929,0.798587,0.835227,0.723404,0.849515,0.845438
0.355719,0.799465,0.427023,0.805312,0.63293,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.60409,50,0.131048,0.818902,raw_max50,0.3,12629,0.055186,0.803279,0.11902,0.511696,0.142947,0.791519,0.835227,0.723404,0.849515,0.842644
0.355719,0.799465,0.427023,0.805312,0.63293,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.60409,50,0.131048,0.818902,classwise_current_max50,0.3,12629,0.055186,0.803279,0.11902,0.511696,0.142947,0.791519,0.835227,0.723404,0.849515,0.842644
0.312377,0.825805,0.424932,0.824938,0.631384,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.603887,50,0.069977,0.875804,raw_max50,0.4,25294,0.030189,0.608696,0.061019,0.342697,0.075313,0.85159,0.875,0.794326,0.88835,0.901304
0.312265,0.825805,0.424712,0.824938,0.631165,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.603777,50,0.076843,0.87333,raw_max50,0.4,22969,0.033062,0.633745,0.067699,0.375,0.082585,0.848057,0.875,0.79078,0.88835,0.89851
0.356447,0.799465,0.427255,0.802117,0.632444,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.603545,30,0.14313,0.816922,classwise_current_max30,0.3,11535,0.063474,0.807692,0.123636,0.510264,0.154637,0.791519,0.835227,0.723404,0.84466,0.839851
0.313266,0.821985,0.424353,0.826109,0.631414,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.603425,100,0.074073,0.876299,raw_max100,0.4,23909,0.030314,0.676991,0.069724,0.396963,0.080964,0.865724,0.869318,0.787234,0.88835,0.901304
0.335458,0.806079,0.428723,0.809382,0.636656,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.60326,100,0.11262,0.845126,raw_max100,0.35,15166,0.046293,0.784211,0.105609,0.498592,0.124205,0.833922,0.846591,0.741135,0.859223,0.872439
0.313266,0.821985,0.42357,0.826109,0.631338,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.603254,100,0.081692,0.87432,raw_max100,0.4,21630,0.033539,0.705069,0.076307,0.42757,0.089454,0.865724,0.869318,0.776596,0.88835,0.900372
0.312265,0.825805,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.603099,50,0.093502,0.869372,classwise_current_max50,0.4,18791,0.042614,0.633745,0.080472,0.39738,0.098779,0.848057,0.875,0.77305,0.883495,0.896648
0.312265,0.825805,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.603099,50,0.093502,0.869372,classwise_current_max50,0.4,18791,0.042614,0.633745,0.080472,0.39738,0.098779,0.848057,0.875,0.77305,0.883495,0.896648
